Name,url
Radja Nainggolan,/player/178518/radja-nainggolan/
Javi Martínez,/player/177610/javi-mart%C3%ADnez/
Dries Mertens,/player/175943/dries-mertens/
Sokratis,/player/172879/sokratis/
Miranda,/player/168609/miranda/
Karim Benzema,/player/165153/karim-benzema/
Pepe,/player/120533/pepe/
Petr Čech,/player/48940/petr-%C4%8Dech/
Yannick Carrasco,/player/208418/yannick-carrasco/
Raphaël Varane,/player/201535/rapha%C3%ABl-varane/
Morata,/player/201153/morata/
Casemiro,/player/200145/casemiro/
Lorenzo Insigne,/player/198219/lorenzo-insigne/
Koke,/player/193747/koke/
Alexandre Lacazette,/player/193301/alexandre-lacazette/
Keylor Navas,/player/193041/keylor-navas/
Henrikh Mkhitaryan,/player/192883/henrikh-mkhitaryan/
Danijel Subašić,/player/192593/danijel-suba%C5%A1i%C4%87/
Bernd Leno,/player/192563/bernd-leno/
Marc-André ter Stegen,/player/192448/marc-andr%C3%A9-ter-stegen/
Kamil Glik,/player/190547/kamil-glik/
Jordi Alba,/player/189332/jordi-alba/
İlkay Gündoğan,/player/186942/ilkay-g%C3%BCndo%C4%9Fan/
Azpilicueta,/player/184432/azpilicueta/
Miralem Pjanić,/player/180206/miralem-pjani%C4%87/
David Luiz,/player/179944/david-luiz/
Claudio Marchisio,/player/173210/claudio-marchisio/
Jan Vertonghen,/player/172871/jan-vertonghen/
Blaise Matuidi,/player/170890/blaise-matuidi/
Stéphane Ruffier,/player/167628/st%C3%A9phane-ruffier/
Filipe Luís,/player/164169/filipe-lu%C3%ADs/
Cesc Fàbregas,/player/162895/cesc-f%C3%A0bregas/
Franck Ribéry,/player/156616/franck-rib%C3%A9ry/
Vincent Kompany,/player/139720/vincent-kompany/
Andrea Barzagli,/player/137186/andrea-barzagli/
Eric Bailly,/player/225508/eric-bailly/
Marco Asensio,/player/220834/marco-asensio/
Bernardo Silva,/player/218667/bernardo-silva/
Aymeric Laporte,/player/212218/aymeric-laporte/
Dele Alli,/player/211117/dele-alli/
Sadio Mané,/player/208722/sadio-man%C3%A9/
Marquinhos,/player/207865/marquinhos/
Carvajal,/player/204963/carvajal/
Julian Draxler,/player/202166/julian-draxler/
Mauro Icardi,/player/201399/mauro-icardi/
Kalidou Koulibaly,/player/201024/kalidou-koulibaly/
Timo Horn,/player/200316/timo-horn/
Kostas Manolas,/player/192774/kostas-manolas/
Shkodran Mustafi,/player/192227/shkodran-mustafi/
